# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      19.007       17.500     1995.660     7269.027
      19.121       26.300     1995.660     7269.027
      19.235       26.100     1995.660     7269.027
      19.350       35.400     1995.660     7269.027
      19.463       17.400     1995.660     7269.027
      19.578       35.200     1995.660     7269.027
      19.691       26.100     1995.660     7269.027
      19.806       26.500     1995.660     7269.027
      19.920       26.100     1995.660     7269.027
      20.034       26.400     1995.660     7269.027
      20.148       26.200     1995.660     7269.027
      20.263       35.900     1995.660     7269.027
      20.374       26.500     1995.660     7269.027
      20.487       26.200     1995.660     7269.027
      20.602       26.600     1995.660     7269.027
      20.715       35.000     1995.660     7269.027
      20.829       26.400     1995.660     7269.027
      20.943       26.100     1995.660     7269.027
      21.058       26.600     1995.660     7269.027
      21.171       35.400     1995.660     7269.027
      21.284       17.600     1995.660     7269.027
      21.397       35.800     1995.660     7269.027
      21.509       26.500     1995.660     7269.027
      21.622       26.600     1995.660     7269.027
      21.735       26.100     1995.660     7269.027
      21.850       26.600     1995.660     7269.027
      21.963       17.400     1995.660     7269.027
      22.078       35.300     1995.660     7269.027
      22.191       26.100     1995.660     7269.027
      22.306       35.300     1995.660     7269.027
      22.419       26.200     1995.660     7269.027
      22.534       17.700     1995.660     7269.027
      22.647       34.700     1995.660     7269.027
      22.762       26.400     1995.660     7269.027
      22.876       26.400     1995.660     7269.027
      22.990       35.300     1995.660     7269.027
      23.103       17.500     1995.660     7269.027
      23.217       35.100     1995.660     7269.027
      23.331       26.300     1995.660     7269.027
      23.445       17.600     1995.660     7269.027
      23.559       35.000     1995.660     7269.027
      23.673       26.500     1995.660     7269.027
      23.786       26.500     1995.660     7269.027
      23.899       34.800     1995.660     7269.027
      24.014       17.300     1995.660     7269.027
      24.130       26.600     1995.660     7269.027
      24.243       26.700     1995.660     7269.027
      24.355       34.800     1995.660     7269.027
      24.470       26.600     1995.660     7269.027
      24.583       17.400     1995.660     7269.027
      24.698       26.600     1995.660     7269.027
      24.811       26.100     1995.660     7269.027
      24.926       26.500     1995.660     7269.027
      25.039       17.300     1995.660     7269.027
