# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        9.289       18.340
       0.107       98.000       32.285     3376.758
       0.219       97.400      247.680     3376.758
       0.332      107.400      618.508     3376.758
       0.444       96.100      847.832     3380.059
       0.558       79.600      873.410     3391.602
       0.671      106.700      922.254     3416.773
       0.784      104.500      926.102     3420.484
       0.899       88.700      942.820     3498.578
       1.011      106.900      952.066     3512.223
       1.124       95.900      962.734     3525.668
       1.238       61.600      965.977     3600.832
       1.352       89.600      966.699     3601.504
       1.464      105.000      966.699     3601.504
       1.578      106.000      967.777     3602.145
       1.691       88.700      973.699     3608.371
       1.804      104.900      979.914     3615.293
       1.918       53.000     1003.547     3653.504
       2.032      112.700     1014.246     4284.543
       2.147      106.000     1275.176     7012.391
       2.260       95.800     1662.445     7012.391
       2.375       98.900     1847.816     7017.609
       2.486       86.600     1871.383     7028.844
       2.602       96.600     1919.508     7053.738
       2.716      104.400     1937.145     7132.707
       2.831       88.300     1947.895     7147.086
       2.944      104.700     1960.867     7163.441
       3.059       97.600     1971.262     7174.688
       3.171      106.400     1980.539     7193.848
       3.284       26.100     1995.922     7269.133
       3.399        0.000     1995.922     7269.133
       3.514       17.600     1995.922     7269.133
       3.628        8.900     1995.922     7269.133
       3.740       17.800     1995.922     7269.133
       3.853       17.800     1995.922     7269.133
       3.965       26.300     1995.922     7269.133
       4.079       35.400     1995.922     7269.133
       4.192       26.100     1995.922     7269.133
       4.307       35.300     1995.922     7269.133
       4.420       35.900     1995.922     7269.133
       4.532       35.300     1995.922     7269.133
       4.645       35.800     1995.922     7269.133
       4.757       34.800     1995.922     7269.133
       4.871       44.200     1995.922     7269.133
       4.984       34.800     1995.922     7269.133
       5.099       35.400     1995.922     7269.133
       5.212       34.800     1995.922     7269.133
       5.327       44.100     1995.922     7269.133
       5.441       35.800     1995.922     7269.133
       5.552       34.900     1995.922     7269.133
       5.667       35.300     1995.922     7269.133
       5.780       34.800     1995.922     7269.133
       5.895       44.200     1995.922     7269.133
       6.009       26.200     1995.922     7269.133
       6.123       35.300     1995.922     7269.133
       6.236       43.700     1995.922     7269.133
       6.351       44.100     1995.922     7269.133
       6.465       34.800     1995.922     7269.133
       6.579       35.400     1995.922     7269.133
       6.692       34.900     1995.922     7269.133
       6.807       35.400     1995.922     7269.133
       6.920       43.500     1995.922     7269.133
       7.035       26.400     1995.922     7269.133
       7.149       34.400     1995.922     7269.133
       7.265       26.200     1995.922     7269.133
       7.379       35.400     1995.922     7269.133
       7.492       26.100     1995.922     7269.133
       7.607       26.500     1995.922     7269.133
       7.720       34.900     1995.922     7269.133
       7.835       17.700     1995.922     7269.133
       7.948       34.900     1995.922     7269.133
       8.063       26.600     1995.922     7269.133
       8.176       26.600     1995.922     7269.133
       8.289       26.200     1995.922     7269.133
       8.403       26.600     1995.922     7269.133
       8.516       26.100     1995.922     7269.133
       8.631       26.400     1995.922     7269.133
       8.744       34.800     1995.922     7269.133
       8.859       35.400     1995.922     7269.133
       8.972       26.200     1995.922     7269.133
       9.087       26.500     1995.922     7269.133
       9.200       26.100     1995.922     7269.133
       9.315       26.500     1995.922     7269.133
       9.428       35.100     1995.922     7269.133
       9.542       17.600     1995.922     7269.133
       9.656       26.100     1995.922     7269.133
       9.771       35.300     1995.922     7269.133
